goos: linux
goarch: amd64
pkg: github.com/koykov/versus/xmlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseXmlvector/large-8               	 1000000	     11459 ns/op	 630.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11523 ns/op	 627.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11572 ns/op	 624.45 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  988503	     11469 ns/op	 630.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11803 ns/op	 612.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	  929580	     12208 ns/op	 591.88 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11474 ns/op	 629.79 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11547 ns/op	 625.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/large-8               	 1000000	     11495 ns/op	 628.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16723	    722891 ns/op	 667.55 MB/s	      15 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   17049	    707099 ns/op	 682.46 MB/s	       4 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   17011	    707368 ns/op	 682.20 MB/s	       2 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16798	    703913 ns/op	 685.55 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16862	    703409 ns/op	 686.04 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16764	    704935 ns/op	 684.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   17125	    710239 ns/op	 679.44 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   17094	    706044 ns/op	 683.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16711	    704341 ns/op	 685.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/sigmod-8              	   16909	    706063 ns/op	 683.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    4593	   2356394 ns/op	 642.20 MB/s	     128 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5491	   2157555 ns/op	 701.39 MB/s	      36 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    4605	   2184564 ns/op	 692.71 MB/s	      27 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5505	   2147682 ns/op	 704.61 MB/s	      14 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    4676	   2155817 ns/op	 701.95 MB/s	      13 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5536	   2186899 ns/op	 691.97 MB/s	       9 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5538	   2182289 ns/op	 693.44 MB/s	       8 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5526	   2147515 ns/op	 704.67 MB/s	       6 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5528	   2173734 ns/op	 696.17 MB/s	       5 B/op	       0 allocs/op
BenchmarkParseXmlvector/mondial-8             	    5523	   2148403 ns/op	 704.37 MB/s	       4 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/xmlvector	1970.906s
