goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseSimdjson/large-8         	 2580165	     28415 ns/op	 989.54 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13256	   5417012 ns/op	 415.55 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13306	   5380958 ns/op	 418.34 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13382	   5378000 ns/op	 418.57 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13420	   5367192 ns/op	 419.41 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13404	   5338991 ns/op	 421.62 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13472	   5462491 ns/op	 412.09 MB/s	     291 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13497	   5346676 ns/op	 421.02 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13518	   5346724 ns/op	 421.01 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13470	   5353605 ns/op	 420.47 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	   13200	   6767231 ns/op	 332.64 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   58677	   1149343 ns/op	1502.78 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   65841	   1009768 ns/op	1710.50 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   75577	   1020393 ns/op	1692.69 MB/s	     100 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   78836	    920987 ns/op	1875.38 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   77074	    939439 ns/op	1838.55 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   76678	    939452 ns/op	1838.52 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   78920	    919032 ns/op	1879.37 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   74738	    963425 ns/op	1792.77 MB/s	     100 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   75073	    954709 ns/op	1809.14 MB/s	     100 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   73117	   1004039 ns/op	1720.26 MB/s	     101 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  202502	    367454 ns/op	1718.62 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  195488	    378881 ns/op	1666.79 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  200199	    372765 ns/op	1694.14 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  195666	    371773 ns/op	1698.65 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  201348	    355425 ns/op	1776.79 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  196089	    376237 ns/op	1678.50 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  195858	    382911 ns/op	1649.24 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  197116	    370939 ns/op	1702.48 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  194823	    385264 ns/op	1639.17 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/twitter-8       	  203548	    360905 ns/op	1749.81 MB/s	      73 B/op	       3 allocs/op
PASS
ok  	github.com/koykov/versus/jsonvector	16633.088s
