goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseJsonvector/twitter-48     	  250150	    282547 ns/op	2235.07 MB/s	      69 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  245852	    279798 ns/op	2257.04 MB/s	      69 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  258870	    279860 ns/op	2256.53 MB/s	      66 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  245552	    280927 ns/op	2247.96 MB/s	     276 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  247513	    280493 ns/op	2251.44 MB/s	     137 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  241022	    282807 ns/op	2233.02 MB/s	    1403 B/op	       1 allocs/op
BenchmarkParseJsonvector/twitter-48     	  247052	    279376 ns/op	2260.45 MB/s	      68 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  245905	    278677 ns/op	2266.12 MB/s	      69 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-48     	  223791	    282237 ns/op	2237.53 MB/s	     529 B/op	       0 allocs/op
BenchmarkParseSimdjson/small-48         	699251605	       144.5 ns/op	1314.50 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	740088508	       146.7 ns/op	1295.06 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	822359493	       146.0 ns/op	1301.00 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	759064297	       141.3 ns/op	1344.38 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	607014590	       162.0 ns/op	1172.58 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	724964341	       170.1 ns/op	1116.86 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	623937115	       138.6 ns/op	1371.29 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	761256722	       139.9 ns/op	1357.99 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	719558386	       148.4 ns/op	1280.72 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-48         	814147909	       153.3 ns/op	1239.00 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	133643644	       587.3 ns/op	3965.48 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	100000000	       602.7 ns/op	3864.21 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	173106624	       538.2 ns/op	4327.02 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	174780822	       608.8 ns/op	3825.55 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	161495288	       577.5 ns/op	4033.14 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	188660965	       552.4 ns/op	4215.82 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	177212725	       522.3 ns/op	4459.16 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	157812670	       593.3 ns/op	3925.19 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	145486675	       596.0 ns/op	3907.51 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-48        	149368500	       556.0 ns/op	4188.53 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/large-48         	11096491	      6412 ns/op	4385.46 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	 9729519	      7476 ns/op	3761.34 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	12525710	      5727 ns/op	4909.83 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	13572660	      5381 ns/op	5225.81 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	14250456	      5162 ns/op	5446.88 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	13562898	      5301 ns/op	5304.01 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	13966060	      5426 ns/op	5182.56 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	14325940	      5161 ns/op	5448.44 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	12393291	      6082 ns/op	4622.86 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-48         	10847257	      6518 ns/op	4314.17 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   77038	    941767 ns/op	2390.24 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   73908	    944296 ns/op	2383.84 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   76291	    940958 ns/op	2392.30 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   74787	    953270 ns/op	2361.40 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   77052	    945309 ns/op	2381.29 MB/s	     182 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   77018	    952564 ns/op	2363.15 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   77521	    944449 ns/op	2383.45 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   78088	    956504 ns/op	2353.41 MB/s	     103 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   76902	    936851 ns/op	2402.79 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-48        	   74764	    943965 ns/op	2384.68 MB/s	      64 B/op	       3 allocs/op
