goos: linux
goarch: amd64
pkg: github.com/koykov/versus/jsonvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseJsonvector/citm-8        	   64070	    576345 ns/op	2996.82 MB/s	     366 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   62098	    578665 ns/op	2984.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   61418	    581263 ns/op	2971.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   64407	    582427 ns/op	2965.53 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   62347	    582933 ns/op	2962.95 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   62888	    575659 ns/op	3000.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   60115	    575999 ns/op	2998.62 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   62656	    581916 ns/op	2968.13 MB/s	     372 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   60748	    574878 ns/op	3004.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/citm-8        	   61420	    575833 ns/op	2999.49 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  164604	    218208 ns/op	2894.09 MB/s	       3 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  162338	    218876 ns/op	2885.26 MB/s	       1 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  159054	    218899 ns/op	2884.96 MB/s	      54 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  160530	    219825 ns/op	2872.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  169874	    222324 ns/op	2840.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  169027	    222168 ns/op	2842.51 MB/s	      58 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  169879	    219257 ns/op	2880.24 MB/s	      50 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  170041	    219283 ns/op	2879.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  169796	    219823 ns/op	2872.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseJsonvector/twitter-8     	  169467	    219724 ns/op	2874.13 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       336.6 ns/op	 564.45 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       332.1 ns/op	 572.14 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       321.3 ns/op	 591.41 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       322.8 ns/op	 588.63 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       318.6 ns/op	 596.45 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       322.6 ns/op	 588.94 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       347.3 ns/op	 547.10 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       328.3 ns/op	 578.76 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       331.8 ns/op	 572.67 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/small-8         	100000000	       324.2 ns/op	 586.14 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	22598373	      1697 ns/op	1372.59 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	22027987	      1771 ns/op	1315.36 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	25061748	      1617 ns/op	1440.26 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	21946734	      1655 ns/op	1406.99 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	23134370	      1654 ns/op	1408.04 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	22825208	      1650 ns/op	1411.69 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	23894877	      1695 ns/op	1373.70 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	23417978	      1739 ns/op	1339.43 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	22294695	      1658 ns/op	1404.52 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/medium-8        	23172229	      1611 ns/op	1446.13 MB/s	      16 B/op	       1 allocs/op
BenchmarkParseSimdjson/large-8         	 1639614	     21870 ns/op	1285.67 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1629685	     22572 ns/op	1245.72 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1614496	     23018 ns/op	1221.57 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1600812	     22541 ns/op	1247.42 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1669791	     22431 ns/op	1253.54 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1636681	     21818 ns/op	1288.74 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1569884	     23252 ns/op	1209.27 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1555405	     22205 ns/op	1266.29 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1611853	     22321 ns/op	1259.69 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/large-8         	 1622338	     22290 ns/op	1261.49 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    7690	   4427946 ns/op	 508.37 MB/s	      73 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    8738	   4437060 ns/op	 507.33 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    7599	   4436703 ns/op	 507.37 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    7606	   4448624 ns/op	 506.01 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    8599	   4418844 ns/op	 509.42 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    7680	   4421994 ns/op	 509.06 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    9182	   4418617 ns/op	 509.45 MB/s	      65 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    9076	   4422936 ns/op	 508.95 MB/s	     399 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    8595	   4429470 ns/op	 508.20 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/canada-8        	    7634	   4440354 ns/op	 506.95 MB/s	      66 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   44691	    785018 ns/op	2200.21 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   45494	    801676 ns/op	2154.49 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   45140	    806904 ns/op	2140.53 MB/s	     124 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   45536	    820554 ns/op	2104.92 MB/s	     124 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   44143	    804475 ns/op	2146.99 MB/s	      64 B/op	       3 allocs/op
BenchmarkParseSimdjson/citm-8          	   45021	    808893 ns/op	2135.27 MB/s	     124 B/op	       3 allocs/op
