goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkParseUrlvector/medium-8       	345786831	       103.8 ns/op	 655.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	343873968	       104.7 ns/op	 649.29 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	344734706	       104.5 ns/op	 650.58 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	343462435	       104.0 ns/op	 653.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	342561009	       105.2 ns/op	 646.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/medium-8       	345905737	       104.0 ns/op	 653.93 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	394580244	        91.36 ns/op	2440.98 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	390779032	        93.00 ns/op	2397.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	389390241	        92.46 ns/op	2411.73 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	390017796	        92.40 ns/op	2413.51 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	393304261	        91.79 ns/op	2429.35 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	393111301	        91.57 ns/op	2435.30 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	388618539	        92.66 ns/op	2406.75 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	391754672	        92.09 ns/op	2421.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	389401027	        92.42 ns/op	2412.83 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-8        	385887602	        93.21 ns/op	2392.54 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	98691668	       365.9 ns/op	3079.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	98479370	       365.5 ns/op	3083.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	99036123	       364.0 ns/op	3096.06 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	97815277	       364.8 ns/op	3089.03 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	98589992	       367.6 ns/op	3065.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	98721942	       364.1 ns/op	3095.19 MB/s	       0 B/op	       0 allocs/op
