goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz
BenchmarkParseUrlvector/big-8          	48704126	       712.2 ns/op	1582.41 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48756648	       705.4 ns/op	1597.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48568573	       758.1 ns/op	1486.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48142920	       710.0 ns/op	1587.33 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	55903362	       712.8 ns/op	1581.07 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	51909706	       707.4 ns/op	1593.15 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	52975510	       709.1 ns/op	1589.26 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-8          	48403530	       718.1 ns/op	1569.46 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	99619020	       350.7 ns/op	5962.50 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	100000000	       350.6 ns/op	5963.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	98403435	       354.6 ns/op	5896.65 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	99510441	       353.9 ns/op	5908.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	100000000	       351.3 ns/op	5952.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	99630920	       352.7 ns/op	5928.34 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	98261085	       351.6 ns/op	5947.28 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	98584652	       355.3 ns/op	5885.81 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	99208436	       353.7 ns/op	5911.38 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-8        	99314863	       356.0 ns/op	5873.86 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/urlvector	7044.720s
