goos: linux
goarch: amd64
pkg: github.com/koykov/versus/urlvector
cpu: Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz
BenchmarkParseUrlvector/large-48        	789395324	        45.88 ns/op	4860.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	696192889	        51.90 ns/op	4296.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/large-48        	734531373	        49.71 ns/op	4486.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	229760900	       152.4 ns/op	7396.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	256390431	       140.3 ns/op	8030.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	230256196	       160.9 ns/op	7002.70 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	238867888	       147.9 ns/op	7617.77 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	255630415	       145.4 ns/op	7751.68 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	232204330	       155.9 ns/op	7227.11 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	226939341	       156.6 ns/op	7196.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	240411058	       147.5 ns/op	7638.37 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	253601906	       141.7 ns/op	7955.90 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/big-48          	244479429	       146.0 ns/op	7719.04 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	478550844	        75.90 ns/op	27550.48 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	421828430	        85.21 ns/op	24538.57 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	445952960	        79.94 ns/op	26158.47 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	527385826	        69.59 ns/op	30046.66 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	502235455	        73.29 ns/op	28528.97 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	530549569	        78.57 ns/op	26613.91 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	436316386	        81.00 ns/op	25814.74 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	460776196	        78.53 ns/op	26626.32 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	484944408	        74.70 ns/op	27991.59 MB/s	       0 B/op	       0 allocs/op
BenchmarkParseUrlvector/giant-48        	523626858	        69.74 ns/op	29982.52 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/koykov/versus/urlvector	6288.104s
